                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.7952,                 0.9618,                 1.1723,                0.77889,                0.57169,                0.61338,                0.28244,                 1.7337,                 0.8828,                 1.1477,               0.008845,               0.008845,               0.008845
                     37,                 1.7846,                0.95593,                 1.1719,                0.77566,                0.57398,                0.61246,                0.28428,                 1.7285,                0.87639,                 1.1445,               0.008812,               0.008812,               0.008812
                     38,                 1.7878,                0.95394,                 1.1678,                0.78267,                0.57503,                0.61658,                0.28558,                 1.7286,                0.87153,                 1.1436,               0.008779,               0.008779,               0.008779
                     39,                 1.7795,                  0.942,                  1.163,                0.77965,                0.57848,                0.61628,                0.28744,                 1.7222,                0.86455,                 1.1422,               0.008746,               0.008746,               0.008746
                     40,                 1.7784,                0.94642,                  1.168,                0.77695,                0.57985,                0.61937,                0.28847,                 1.7242,                0.86026,                 1.1422,               0.008713,               0.008713,               0.008713
                     41,                 1.7745,                0.94459,                 1.1621,                0.77772,                 0.5771,                0.61899,                0.28917,                 1.7222,                0.86247,                 1.1419,                0.00868,                0.00868,                0.00868
                     42,                 1.7678,                0.93419,                 1.1616,                0.77706,                0.58021,                0.62021,                0.28999,                 1.7158,                0.85521,                  1.141,               0.008647,               0.008647,               0.008647
                     43,                 1.7721,                0.93506,                 1.1609,                0.77838,                0.58048,                0.62112,                0.29004,                 1.7121,                0.85764,                 1.1396,               0.008614,               0.008614,               0.008614
                     44,                 1.7693,                0.93492,                 1.1615,                0.77824,                0.58136,                0.62378,                0.29245,                 1.7079,                 0.8527,                 1.1361,               0.008581,               0.008581,               0.008581
                     45,                 1.7696,                0.93531,                 1.1611,                0.77668,                0.58278,                0.62488,                 0.2935,                 1.7062,                0.85191,                  1.135,               0.008548,               0.008548,               0.008548
                     46,                 1.7763,                0.95457,                 1.1474,                0.77156,                0.59174,                0.62813,                0.29419,                 1.7089,                 0.8576,                 1.1323,               0.008515,               0.008515,               0.008515
                     47,                 1.7657,                0.95192,                 1.1378,                0.77055,                0.59086,                0.63006,                0.29527,                 1.7157,                0.86743,                 1.1263,               0.008482,               0.008482,               0.008482
                     48,                 1.7639,                0.94908,                 1.1305,                0.77928,                0.59057,                0.63144,                0.29656,                 1.7118,                0.86893,                 1.1204,               0.008449,               0.008449,               0.008449
                     49,                 1.7615,                0.94619,                 1.1309,                0.78665,                0.59094,                0.63311,                0.29729,                 1.7103,                0.86524,                 1.1154,               0.008416,               0.008416,               0.008416
                     50,                 1.7555,                0.93977,                  1.123,                0.78419,                0.59173,                0.63325,                0.29846,                 1.7085,                0.86292,                 1.1104,               0.008383,               0.008383,               0.008383
                     51,                  1.756,                0.93978,                 1.1191,                0.78593,                0.59025,                0.63316,                0.29801,                 1.7049,                0.85779,                 1.1068,                0.00835,                0.00835,                0.00835
                     52,                 1.7645,                0.94351,                 1.1224,                0.78703,                0.59506,                0.63633,                0.29949,                 1.7039,                0.85532,                 1.1046,               0.008317,               0.008317,               0.008317
                     53,                 1.7612,                0.94185,                 1.1185,                0.78679,                 0.5937,                0.63735,                 0.3007,                 1.7018,                0.85351,                 1.1019,               0.008284,               0.008284,               0.008284
                     54,                  1.757,                0.93595,                  1.114,                0.78794,                0.59249,                0.63668,                0.30042,                 1.6998,                0.85024,                 1.0995,               0.008251,               0.008251,               0.008251
                     55,                 1.7495,                 0.9285,                 1.1125,                0.78867,                0.59248,                0.63833,                0.30062,                 1.6985,                 0.8488,                 1.0973,               0.008218,               0.008218,               0.008218
                     56,                 1.7554,                0.93443,                 1.1048,                0.78486,                0.59765,                0.64013,                0.30136,                  1.697,                 0.8467,                  1.095,               0.008185,               0.008185,               0.008185
                     57,                 1.7468,                0.92663,                 1.1043,                0.78579,                0.59622,                0.63773,                0.30105,                 1.6949,                0.84375,                 1.0925,               0.008152,               0.008152,               0.008152
                     58,                 1.7456,                0.92682,                 1.1004,                0.78855,                0.59567,                0.63845,                0.30148,                 1.6933,                0.84296,                 1.0909,               0.008119,               0.008119,               0.008119
                     59,                 1.7432,                0.92317,                 1.0975,                0.78662,                0.59756,                0.63834,                0.30195,                 1.6923,                0.84223,                 1.0897,               0.008086,               0.008086,               0.008086
